Version ID	Master ID	Skeletal code	Publication	Method for Determining Date (including any warnings)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Group ID	Locality	Country	Lat.	Long.	Data type	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Sex	Family ID and position within family	Y haplogroup in terminal mutation notation (automatically called)	Y haplogroup  in ISOGG v15.73 notation (automatically called)	mt haplogroup	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	SNP >=30000	Not questionable	 Not 1d relative of another high coverage sample	1240k data	UDG treated or modern or expected low damage due to diploid consensus calling	Coarse Subregion	Fine Subregion	Period	P-value for qpAdm (2-way model) (Balkan_N new)	EEF (2-way model)	EEF err. (2-way model)	P-value for qpAdm (3-way model)	WHG (3-way model)	EEF (3-way model)	Steppe (3-way model)	WHG err. (3-way model)	EEF err. (3-way model)	Steppe err. (3-way model)	Z-score for non-zero Steppe ancestry	Maximum P-value for 2-way and 3-way qpAdm	Filter 0: >=30000 SNPs, PASS assessment, relevant period, not a first degree relative of higher coverage individuals)	Filter 1: Filter 0 plus p>0.01 qpAdm 3-way or qpAdm 2-way	Filter 1 alternative: Version of Filter 1 but with subregional classifications in the Iron Age	"Filter 2: Filter 1 +  significant outliers by qpWave from other individuals of the comparison group that are not labeled as ""Ignore"" or  outlier; for ""Neolithic"" we also reject if Z>2.58 for steppe ancestry. We label all individuals where non-Ignore individuals are P<0.05 or less after the first is significant at P<0.005 as extreme outliers"	Filter 2 comparison group	P-values from main comparison group (from 1240k data when a 1240k sample, from all samples when a .SG sample)
MX196	MX196	Individuum 13/18	FurtwanglerNatureCommunications2020	Direct: IntCal20	4495	55	2627-2470 calBCE (4034±29 BP,¬†ETH-44195.1)	Switzerland_EBA_2	Spreitenbach CWC	Switzerland	47.255	8.2158	1240K	1	1.210559	571477	F	n/a (no relatives detected)	n/a (female)	n/a (female)	J1c3	ds.half	MX196	PASS	..	1	1	1	1	1	France.Switzerland	Switzerland	C.EBA	0	0.671	0.014	0.255847	0.095	0.311	0.594	0.015	0.018	0.023	25.8	0.255847	Use	France.Switzerland_5700.to.4470BP	Switzerland_5700.to.4470BP	France.Switzerland_5700.to.4470BP_highSteppe	France.Switzerland_5700.to.4470BP	0
MX298	MX298	Wartau 33.006.101.9	FurtwanglerNatureCommunications2020	Direct: IntCal20	4461	56	2622-2349 calBCE (3988±39 BP, BE-8022.1.1)	Switzerland_EBA_2	Wartau	Switzerland	47.45	9.292	1240K	1	0.016034	18496	M	n/a (no relatives detected)	G-P303	G2a2b2a	X2b4	ds.half	MX298	PASS	..	0	1	1	1	1	France.Switzerland	Switzerland	C.EBA	0	0.728	0.034	0.285891	0.129	0.495	0.376	0.041	0.05	0.063	6	0.285891	Do not pool into main transects (<30000 SNPs)	Ignore_France.Switzerland_4470.to.4100BP	Ignore_Switzerland_4470.to.4100BP	Ignore_France.Switzerland_4470.to.4100BP_highEEF	France.Switzerland_4470.to.4100BP	0.003144
MX188	MX188	Individuum 7/11	FurtwanglerNatureCommunications2020	Direct: IntCal20	4399	58	2566-2345 calBCE (3947±21 BP, BE-7995.1.1)	Switzerland_EBA_2	Spreitenbach CWC	Switzerland	47.255	8.2158	1240K	1	1.53935	642441	M	n/a (no relatives detected)	I-Y3104	I2a1a2	U2e2a1d	ds.half	MX188	PASS	..	1	1	1	1	1	France.Switzerland	Switzerland	C.EBA	0	0.652	0.014	0.85902	0.139	0.342	0.519	0.016	0.019	0.023	22.6	0.85902	Use	France.Switzerland_4470.to.4100BP	Switzerland_4470.to.4100BP	France.Switzerland_4470.to.4100BP	France.Switzerland_4470.to.4100BP	0.450869
MX197	MX197	Individuum 8	FurtwanglerNatureCommunications2020	Direct: IntCal20	4351	59	2557-2293 calBCE (3921±34 BP, BE-7985.1.1)	Switzerland_EBA_2	Spreitenbach CWC	Switzerland	47.255	8.2158	1240K	1	1.081298	553048	F	n/a (no relatives detected)	n/a (female)	n/a (female)	H11a+152	ds.half	MX197	PASS	..	1	1	1	1	1	France.Switzerland	Switzerland	C.EBA	0	0.673	0.014	0.013846	0.106	0.314	0.581	0.016	0.019	0.023	25.3	0.013846	Use	France.Switzerland_4470.to.4100BP	Switzerland_4470.to.4100BP	France.Switzerland_4470.to.4100BP	France.Switzerland_4470.to.4100BP	0.218413
TU904_SX17	TU904(SX17)	78-6 (Komplex 1978)	FurtwanglerNatureCommunications2020	Direct: IntCal20	4344	45	2467-2302 calBCE (3906±21 BP, BE-8017.1.1)	Switzerland_EBA_1	Wartau	Switzerland	47.45	9.292	1240K	1	0.194768	190083	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U4a2f	ds.half	TU904 (SX17)	PASS	..	1	1	1	1	1	France.Switzerland	Switzerland	C.EBA	0.089	0.864	0.014	0.521514	0.119	0.832	0.049	0.016	0.02	0.023	2.1	0.521514	Use	France.Switzerland_4470.to.4100BP	Switzerland_4470.to.4100BP	France.Switzerland_4470.to.4100BP_extremehighEEF	France.Switzerland_4470.to.4100BP	0
TU908_SX21	TU908(SX21)	76-1 (Komplex 1976)	FurtwanglerNatureCommunications2020	Direct: IntCal20	4327	51	2461-2295 calBCE (3885±21 BP, BE-8012.1.1)	Switzerland_EBA_1	Wartau	Switzerland	47.45	9.292	1240K	1	1.302848	575051	F	n/a (no relatives detected)	n/a (female)	n/a (female)	H3	ds.half	TU 908 (SX21)	PASS	..	1	1	1	1	1	France.Switzerland	Switzerland	C.EBA	0.179423	0.853	0.013	0.196426	0.14	0.834	0.027	0.014	0.017	0.019	1.4	0.196426	Use	France.Switzerland_4470.to.4100BP	Switzerland_4470.to.4100BP	France.Switzerland_4470.to.4100BP_extremehighEEF	France.Switzerland_4470.to.4100BP	0
TU914_SX26	TU914(SX26)	85-2 (Komplex 1985/86)	FurtwanglerNatureCommunications2020	Direct: IntCal20	4322	54	2461-2291 calBCE (3880±21 BP, BE-8019.1.1)	Switzerland_EBA_1	Wartau	Switzerland	47.45	9.292	1240K	1	0.907201	473226	F	n/a (no relatives detected)	n/a (female)	n/a (female)	K2b1	ds.half	TU914 (SX26)	PASS	..	1	1	1	1	1	France.Switzerland	Switzerland	C.EBA	0.99623	0.835	0.013	0.782788	0.168	0.832	0	0.015	0.017	0.018	0	0.99623	Use	France.Switzerland_4470.to.4100BP	Switzerland_4470.to.4100BP	France.Switzerland_4470.to.4100BP_extremehighEEF	France.Switzerland_4470.to.4100BP	0
MX199	MX199	Individuum 5/17	FurtwanglerNatureCommunications2020	Direct: IntCal20	4235	73	2454-2147 calBCE (3829±35 BP, BE-7998.1.1)	Switzerland_EBA_2	Spreitenbach CWC	Switzerland	47.255	8.2158	1240K	1	1.361012	601614	F	n/a (no relatives detected)	n/a (female)	n/a (female)	J2b1a	ds.half	MX199	PASS	..	1	1	1	1	1	France.Switzerland	Switzerland	C.EBA	0	0.684	0.015	0.204209	0.099	0.322	0.579	0.016	0.019	0.023	25.2	0.204209	Use	France.Switzerland_4470.to.4100BP	Switzerland_4470.to.4100BP	France.Switzerland_4470.to.4100BP	France.Switzerland_4470.to.4100BP	0.242281
I5755	I5755	BB_01_MXI	OlaldeNature2018	Context: Date(s) on two bones from site 2467-2041 calBCE (3820±70 BP, B-3061) and 2465-1983 calBCE (3790±80 BP, B-3064) one or both of which may be the same as the individual analyzed for ancient DNA but we treat these as Context: Dates; calibrated by IntCal20	4175	159	2500-1950 BCE	Switzerland_BellBeaker	Sion-Petit-Chasseur, Dolmen XI	Switzerland	46.231707	7.351237	1240K	1	0.108	118231	M	n/a (no relatives detected)	R-M269	R1b1a1b	K2b1a	ds.half	S5755.E1.L1	PASS	..	1	1	1	1	1	France.Switzerland	Switzerland	C.EBA	0	0.693	0.017	0.559709	0.149	0.406	0.446	0.019	0.025	0.03	14.9	0.559709	Use	France.Switzerland_4470.to.4100BP	Switzerland_4470.to.4100BP	France.Switzerland_4470.to.4100BP_highEEF	France.Switzerland_4470.to.4100BP	0.000001
I5757	I5757	BB_18_MXI	OlaldeNature2018	Context: Date(s) on two bones from site 2467-2041 calBCE (3820±70 BP, B-3061) and 2465-1983 calBCE (3790±80 BP, B-3064) one or both of which may be the same as the individual analyzed for ancient DNA but we treat these as Context: Dates; calibrated by IntCal20	4175	159	2500-1950 BCE	Switzerland_BellBeaker	Sion-Petit-Chasseur, Dolmen XI	Switzerland	46.231707	7.351237	1240K	1	0.066	73904	M	n/a (no relatives detected)	R-L151	R1b1a1b1a1a	H3af	ds.half	S5757.E1.L1	PASS	..	1	1	1	1	1	France.Switzerland	Switzerland	C.EBA	0	0.668	0.021	0.632731	0.132	0.392	0.475	0.023	0.028	0.034	14	0.632731	Use	France.Switzerland_4470.to.4100BP	Switzerland_4470.to.4100BP	France.Switzerland_4470.to.4100BP_highEEF	France.Switzerland_4470.to.4100BP	0.029202
I5759	I5759	BB_23_MXI	OlaldeNature2018	Context: Date(s) on two bones from site 2467-2041 calBCE (3820±70 BP, B-3061) and 2465-1983 calBCE (3790±80 BP, B-3064) one or both of which may be the same as the individual analyzed for ancient DNA but we treat these as Context: Dates; calibrated by IntCal20	4175	159	2500-1950 BCE	Switzerland_BellBeaker	Sion-Petit-Chasseur, Dolmen XI	Switzerland	46.231707	7.351237	1240K	1	0.114	121053	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U2e1c1	ds.half	S5759.E1.L1	PASS	..	1	1	1	1	1	France.Switzerland	Switzerland	C.EBA	0	0.746	0.017	0.138949	0.114	0.484	0.402	0.019	0.025	0.031	13	0.138949	Use	France.Switzerland_4470.to.4100BP	Switzerland_4470.to.4100BP	France.Switzerland_4470.to.4100BP_highEEF	France.Switzerland_4470.to.4100BP	0
RA64	RA64	Zuzach2	FurtwanglerNatureCommunications2020	Direct: IntCal20	4099	53	2274-2041 calBCE (3746±20 BP, BE-7994.1.1)	Switzerland_EBA_2	Zuzach	Switzerland	47.587789	8.293325	1240K	1	0.846994	473457	M	n/a (no relatives detected)	R-L2	R1b1a1b1a1a2b1	K1a1	ds.half	RA64	PASS	..	1	1	1	1	1	France.Switzerland	Switzerland	C.EBA	0	0.707	0.014	0.818302	0.13	0.373	0.497	0.014	0.02	0.023	21.6	0.818302	Use	France.Switzerland_4100.to.2700BP	Switzerland_4100.to.2700BP	France.Switzerland_4100.to.2700BP_lowEEF	France.Switzerland_4100.to.2700BP	0.000005
MX193	MX193	Individuum 3	FurtwanglerNatureCommunications2020	Direct: IntCal20	4087	67	2283-2030 calBCE (3738±37 BP, BE-7446.1.1)	Switzerland_EBA_1	Spreitenbach CWC	Switzerland	47.255	8.2158	1240K	1	1.030825	524259	F	n/a (no relatives detected)	n/a (female)	n/a (female)	K1a+195	ds.half	MX193	PASS	..	1	1	1	1	1	France.Switzerland	Switzerland	C.EBA	0.484266	0.758	0.014	0.237188	0.246	0.759	-0.005	0.016	0.017	0.019	-0.3	0.484266	Use	France.Switzerland_4100.to.2700BP	Switzerland_4100.to.2700BP	France.Switzerland_4100.to.2700BP_highEEF	France.Switzerland_4100.to.2700BP	0
MX189	MX189	Individuum 2	FurtwanglerNatureCommunications2020	Direct: IntCal20	4058	50	2199-2035 calBCE (3721±20 BP, BE-7986.1.1)	Switzerland_EBA_2	Spreitenbach CWC	Switzerland	47.255	8.2158	1240K	1	0.944723	505118	F	n/a (no relatives detected)	n/a (female)	n/a (female)	T2b	ds.half	MX189	PASS	..	1	1	1	1	1	France.Switzerland	Switzerland	C.EBA	0	0.661	0.013	0.088548	0.129	0.319	0.552	0.015	0.019	0.025	22.1	0.088548	Use	France.Switzerland_4100.to.2700BP	Switzerland_4100.to.2700BP	France.Switzerland_4100.to.2700BP_lowEEF	France.Switzerland_4100.to.2700BP	0
TU911_SX23	TU911(SX23)	85-1 (Komplex 1985)	FurtwanglerNatureCommunications2020	Direct: IntCal20	3762	42	1882-1746 calBCE (3487±20 BP, BE-8018.1.1)	Switzerland_EBA_2	Wartau	Switzerland	47.45	9.292	1240K	1	1.137952	530756	F	n/a (no relatives detected)	n/a (female)	n/a (female)	X2b4	ds.half	TU 911 (SX23)	PASS	..	1	1	1	1	1	France.Switzerland	Switzerland	C.EBA	0	0.725	0.014	0.479298	0.12	0.445	0.435	0.014	0.019	0.022	19.8	0.479298	Use	France.Switzerland_4100.to.2700BP	Switzerland_4100.to.2700BP	France.Switzerland_4100.to.2700BP	France.Switzerland_4100.to.2700BP	0.235968
TU907_SX20	TU907(SX20)	76-7 (Komplex 1976)	FurtwanglerNatureCommunications2020	Direct: IntCal20	3576	47	1733-1542 calBCE (3351±20 BP, BE-8015.1.1)	Switzerland_EBA_2	Wartau	Switzerland	47.45	9.292	1240K	1	1.585615	621662	M	n/a (no relatives detected)	..	..	K1a4a1	ds.half	TU907 (SX20)	PASS	..	1	1	1	1	1	France.Switzerland	Switzerland	C.EBA	0	0.711	0.013	0.588982	0.157	0.507	0.336	0.015	0.018	0.021	16	0.588982	Use	France.Switzerland_4100.to.2700BP	Switzerland_4100.to.2700BP	France.Switzerland_4100.to.2700BP	France.Switzerland_4100.to.2700BP	0.085473
TU905_SX18	TU905(SX18)	76-8 (Komplex 1976)	FurtwanglerNatureCommunications2020	Direct: IntCal20	2032	53	172 calBCE - 12 calCE (2071±33 BP, BE-8016.1.1)	Switzerland_EBA_2	Wartau	Switzerland	47.45	9.292	1240K	1	1.547746	599855	F	n/a (no relatives detected)	n/a (female)	n/a (female)	B4c1b2c2	ds.half	TU905 (SX18)	PASS	..	1	1	1	1	1	France.Switzerland	Switzerland	IA	0	0.76	0.012	0.558624	0.116	0.548	0.336	0.014	0.018	0.021	16	0.558624	Use	France.Switzerland_IA	Switzerland_IA	France.Switzerland_IA_highEEF	France.Switzerland_IA	0
I6745	I6745	SB 343C3	BraceDiekmannNatureEcologyEvolution2019	Direct: IntCal20	10546	81	8751-8433 calBCE (9340±50 BP, OxA-34338)	England_Mesolithic	England, Somerset, Burrington Combe, Aveline's Hole	United Kingdom	51.324706	-2.753248	1240K	1	0.080039	89544	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U5a2+16294	ds.half	S6745.L1	PASS	..	1	1	1	1	1	England.and.Wales	England.Southwest	Mesolithic	0.009451	-0.00800000000000001	0.017	0.012963	0.981	-0.037	0.056	0.021	0.024	0.03	1.9	0.012963	Do not pool into main transects (hunter gatherer)	Ignore_England.and.Wales_Mesolithic	Ignore_England.Southwest_Mesolithic	Ignore_England.and.Wales_Mesolithic	England.and.Wales_Mesolithic	NA
I6744	I6744	SB 337B3	BraceDiekmannNatureEcologyEvolution2019	Direct: IntCal20	10393	80	8606-8300 calBCE (9230±50 BP, OxA-34339)	England_Mesolithic_o1	England, Somerset, Burrington Combe, Aveline's Hole	United Kingdom	51.324706	-2.753248	1240K	1	0.097284	107669	M	n/a (no relatives detected)	I2	I2	U5b1+16189+@16192	ds.half	S6744.L1	QUESTIONABLE	high.popgen.heterozygosity	1	0	1	1	1	England.and.Wales	England.Southwest	Mesolithic	0.000002	0.104	0.015	0.00624	0.843	0.044	0.113	0.018	0.02	0.026	4.3	0.00624	Do not pool into main transects (hunter gatherer) (QUESTIONABLE)	Ignore_England.and.Wales_Mesolithic	Ignore_England.Southwest_Mesolithic	Ignore_England.and.Wales_Mesolithic	England.and.Wales_Mesolithic	NA
I6767	I6767	SB 524A8	BraceDiekmannNatureEcologyEvolution2019	Direct: IntCal20	10280	143	8615-7966 calBCE (9100±100 BP, OxA-814)	England_Mesolithic	England, Somerset, Cheddar, Gough's Cave	United Kingdom	51.281679	-2.765746	1240K	2	2.251405	761765	M	n/a (no relatives detected)	I-S2555	I2a1b2	U5b1	ds.half,ds.half	S6767.L1,S6768.L1	PASS	mtcontam=[0.942,0.971]	1	1	1	1	1	England.and.Wales	England.Southwest	Mesolithic	0.0379	-0.067	0.011	0.151313	1.079	-0.043	-0.036	0.014	0.015	0.017	-2.1	0.151313	Do not pool into main transects (hunter gatherer)	Ignore_England.and.Wales_Mesolithic	Ignore_England.Southwest_Mesolithic	Ignore_England.and.Wales_Mesolithic	England.and.Wales_Mesolithic	NA
I6754	I6754	SB 460A3	BraceDiekmannNatureEcologyEvolution2019	Direct: IntCal20	9580	59	7739-7536 calBCE (8597±54 BP, UBA-32282)	Wales_Mesolithic	Wales, Pembrokeshire, Caldey Island, Ogof-Yr-Ychen	United Kingdom	51.63253	-4.692903	1240K	1	0.394204	348269	M	n/a (no relatives detected)	I-Y3259	I2a1b1	U5b1+16189	ds.half	S6754.L1	PASS	mtcontam=[0.952,0.97]	1	1	1	1	1	England.and.Wales	Wales.South	Mesolithic	0.005644	-0.0449999999999999	0.012	0.613272	1.068	-0.007	-0.061	0.015	0.016	0.02	-3.1	0.613272	Do not pool into main transects (hunter gatherer)	Ignore_England.and.Wales_Mesolithic	Ignore_Wales.South_Mesolithic	Ignore_England.and.Wales_Mesolithic	England.and.Wales_Mesolithic	NA
I3025	I3025	SB 428B	BraceDiekmannNatureEcologyEvolution2019	Direct: IntCal20	9257	96	7476-7085 calBCE (8270±45 BP, OxA-23812)	England_Mesolithic	England, Devon, Torquay, Kent's Cavern	United Kingdom	50.468169	-3.503071	1240K	1	0.077	85463	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U5a2	ds.plus	S3025.L1	PASS	..	1	1	1	1	1	England.and.Wales	England.Southwest	Mesolithic	0.294948	-0.0389999999999999	0.016	0.17114	1.043	-0.023	-0.02	0.019	0.024	0.028	-0.7	0.294948	Do not pool into main transects (hunter gatherer)	Ignore_England.and.Wales_Mesolithic	Ignore_England.Southwest_Mesolithic	Ignore_England.and.Wales_Mesolithic	England.and.Wales_Mesolithic	NA
I3065.SG	I3065	SB 514B2	BraceDiekmannNatureEcologyEvolution2019	Direct: IntCal20	6290	47	4444-4255 calBCE (5492±36 BP, SUERC-69249)	Scotland_Mesolithic_all.SG	Scotland, Argyll and Bute, Oronsay, Cnoc Coig	United Kingdom	56.011625	-6.240016	Shotgun	2	0.021001	25956	F	n/a (no relatives detected)	n/a (female)	n/a (female)	V / HV	ds.minus,ds.plus	SB460A_lib,SB514B2_lib	PASS	Literature	0	1	1	0	0	Scotland	Scotland.West	Mesolithic	0.451458	0.035	0.026	0.28038	0.976	0.054	-0.031	0.034	0.039	0.051	-0.6	0.451458	Do not pool into main transects (<30000 SNPs)	Ignore_Scotland_Mesolithic	Ignore_Scotland.West_Mesolithic	Ignore_Scotland_Mesolithic	Scotland_Mesolithic	NA
I2657	I2657	GENSCOT26	OlaldeNature2018	Direct: IntCal20	5814	55	3955-3773 calBCE (5052±30 BP, SUERC-68701)	Scotland_N	Scotland, Macarthur Cave	United Kingdom	56.42	-5.472	1240K	1	0.138	144401	M	United Kingdom, Scotland, Macarthur Cave Family A (2 members) (I2658-I2657 are possibly 1st degree relatives)	I-L1195	I2a1b1a1a1	W1+119	ds.half	S2657.E1.L1	PASS	..	1	1	1	1	1	Scotland	Scotland.West	N	0.070294	0.765	0.016	0.34625	0.218	0.731	0.051	0.018	0.022	0.024	2.1	0.34625	Use	Scotland_N	Scotland.West_N	Scotland_N	Scotland_N	0.511088
I6748	I6748	SB 410B3; tibia assoc. w/ Cranium 1	This study	Direct: IntCal20	5813	56	3956-3769 calBCE (5052±32 BP, OxA-19914)	England_N_o	England, Somerset, Mendip, Hay Wood Cave	United Kingdom	51.31951	-2.94847	1240K	1	0.019233	22288	M	n/a (no relatives detected)	CT	CT	H	ds.half	S6748.L1	PASS	mtcontam=[0.943,0.963]	0	1	1	1	1	England.and.Wales	England.Southwest	N	0	0.734	0.031	0.08873	0.128	0.529	0.343	0.036	0.043	0.053	6.5	0.08873	Do not pool into main transects (<30000 SNPs)	Ignore_England.and.Wales_N	Ignore_England.Southwest_N	Ignore_England.and.Wales_N_highSteppe	England.and.Wales_N	0
I2658	I2658	GENSCOT27	This study	Context: Date from 1d relative I2657	5800	87	4000-3700 BCE	Scotland_N_1d.rel.or.dup.I2657	Scotland, Argyll and Bute, Oban, Macarthur Cave	United Kingdom	56.42	-5.472	1240K	1	0.087324	95953	M	United Kingdom, Scotland, Macarthur Cave Family A (2 members) (I2658-I2657 are possibly 1st degree relatives)	I-Y3259	I2a1b1	W1+119	ds.half	S2658.E1.L1	PASS	..	1	1	0	1	1	Scotland	Scotland.West	N	0.119481	0.767	0.018	0.387969	0.215	0.732	0.053	0.021	0.025	0.028	1.9	0.387969	Do not pool into main transects (1st degree relative of another higher coverage individual)	Ignore_Scotland_N	Ignore_Scotland.West_N	Ignore_Scotland_N	Scotland_N	0.695859
I6760	I6760	SB 488B3	BraceDiekmannNatureEcologyEvolution2019	Direct: IntCal20	5781	74	3946-3710 calBCE (5023±34 BP, OxA-17173)	England_N	England, Gloucestershire, Hampnett, Burn Ground	United Kingdom	51.843407	-1.850443	1240K	1	0.74625	540502	M	n/a (no relatives detected)	I-L1195	I2a1b1a1a1	U5b2a	ds.half	S6760.L1	PASS	..	1	1	1	1	1	England.and.Wales	England.Southcentral	N	0.045115	0.772	0.014	0.675445	0.21	0.743	0.047	0.016	0.018	0.019	2.5	0.675445	Use	England.and.Wales_N	England.Southcentral_N	England.and.Wales_N	England.and.Wales_N	0.958077
I6762	I6762	PA SK 1855	OlaldeNature2018	Context: Archaeological - Period	5700	144	4000-3500 BCE	England_N	England, Gloucestershire, Chipping Norton, Upper Swell	United Kingdom	51.56105	-1.445923	1240K	1	0.970433	594458	M	n/a (no relatives detected)	I-Y3712	I2a1b1a1a1b	K1a1b1	ds.half	S6762.L1	QUESTIONABLE	mtcontam=[0.853,0.895], Xcontam=[0.001,0.013]	1	0	1	1	1	England.and.Wales	England.Southcentral	N	0.180754	0.764	0.014	0.219621	0.227	0.747	0.026	0.016	0.017	0.018	1.4	0.219621	Do not pool into main transects (QUESTIONABLE)	Ignore_England.and.Wales_N	Ignore_England.Southcentral_N	Ignore_England.and.Wales_N	England.and.Wales_N	0.035908
I16463	I16463	TB 224; Individual 1	This study	Context: Archaeological - Period	5700	144	4000-3500 BCE	England_N	England, North Yorkshire, Cockerham, Elbolton Cave	United Kingdom	54.050362	-1.989273	1240K	1	0.67086	487724	M	n/a (no relatives detected)	I-L1195	I2a1b1a1a1	H4a1a2	ds.half	S16463.Y1.E1.L1	PASS	..	1	1	1	1	1	England.and.Wales	England.North	N	0.038988	0.796	0.014	0.115788	0.192	0.769	0.038	0.015	0.018	0.019	2	0.115788	Use	England.and.Wales_N	England.North_N	England.and.Wales_N	England.and.Wales_N	0.377472
I3035	I3035	SB 469B2	This study	Context: Archaeological - Period	5700	144	4000-3500 BCE	England_N_o	England, North Yorkshire, Ingleborough Hill, Fox Holes Cave	United Kingdom	54.165855	-2.397734	1240K	1	1.208	665964	M	n/a (no relatives detected)	R-A7208	R1b1a1b1a1a1c1a2b	..	ds.half	S3035.L1	QUESTIONABLE	Xcontam=[0.015,0.028]	1	0	1	1	1	England.and.Wales	England.North	N	0	0.648	0.014	0.065299	0.164	0.372	0.465	0.014	0.017	0.02	23.3	0.065299	Do not pool into main transects (QUESTIONABLE)	Ignore_England.and.Wales_N	Ignore_England.North_N	Ignore_England.and.Wales_N_highSteppe	England.and.Wales_N	0
NC5m	I13892	P1107; 5142	FowlerOlaldeNature2021	Direct: IntCal20	5677	67	3932-3637 calBCE (4940±50 BP, GrA-24506)	England_N_Megalithic	England, Gloucestershire, Cheltenham, Hazleton North	United Kingdom	51.861211	-1.883011	1240K	1	2.16581	757352	M	United Kingdom, England, Gloucestershire, Cheltenham, Hazleton North Family A (2 members) (I13892-I13890 have a 2d or 3d relationship)	I-Y3709	I2a1b1a1a1	T2e1	ds.half	S13892.Y1.E2.L1	PASS	..	1	1	1	1	1	England.and.Wales	England.Southcentral	N	0.753817	0.798	0.013	0.729206	0.199	0.787	0.014	0.015	0.017	0.018	0.8	0.753817	Use	England.and.Wales_N	England.Southcentral_N	England.and.Wales_N	England.and.Wales_N	0.768723
I3005	I3005	SB 338B2	BraceDiekmannNatureEcologyEvolution2019	Direct: IntCal20	5657	45	3781-3643 calBCE (4934±35 BP, OxA-34336)	England_N	England, Somerset, Burrington Combe, Aveline's Hole	United Kingdom	51.324706	-2.753248	1240K	1	2.167	652405	F	n/a (no relatives detected)	n/a (female)	n/a (female)	K1a4a1	ds.half	S3005.L1	PASS	batch.flag, mtcontam=[0.954,0.968]	1	1	1	1	1	England.and.Wales	England.Southwest	N	0.801287	0.788	0.014	0.589105	0.218	0.79	-0.008	0.016	0.016	0.018	-0.4	0.801287	Use	England.and.Wales_N	England.Southwest_N	England.and.Wales_N	England.and.Wales_N	0.634824
I6751	I6751	PA SK 3324	OlaldeNature2018	Context: Archaeological - Period	5650	58	3800-3600 BCE	England_N	England, Wiltshire, Salisbury, Fussell's Lodge	United Kingdom	51.091224	-1.72751	1240K	1	1.86116	719117	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U5b1+16189+@16192	ds.half	S6751.L1	PASS	..	1	1	1	1	1	England.and.Wales	England.Southwest	N	0.562981	0.775	0.013	0.766618	0.22	0.761	0.02	0.015	0.017	0.018	1.1	0.766618	Use	England.and.Wales_N	England.Southwest_N	England.and.Wales_N	England.and.Wales_N	0.192605
I6750	I6750	PA SK 3332	OlaldeNature2018	Context: Archaeological - Period	5650	58	3800-3600 BCE	England_N	England, Wiltshire, Salisbury, Fussell's Lodge	United Kingdom	51.091224	-1.72751	1240K	1	0.482649	411908	M	n/a (no relatives detected)	I-Y3712	I2a1b1a1a1b	K1a+195	ds.half	S6750.L1	PASS	damage.ds.half=0.043	1	1	1	1	1	England.and.Wales	England.Southwest	N	0.270472	0.791	0.014	0.10186	0.212	0.789	-0.001	0.015	0.018	0.019	-0.1	0.270472	Use	England.and.Wales_N	England.Southwest_N	England.and.Wales_N	England.and.Wales_N	0.432481
