Index	Version ID	Master ID	Skeletal code	Skeletal element	Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]	Publication	Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Age at Death Estimate	Group ID	Locality	Country	Lat.	Long.	Data source	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Mean length of shotgun sequences (merged data)	Sex	Family ID and position within family	Y haplogroup  in ISOGG v15.73 notation (automatically called)	Y haplogroup (manual curation in terminal mutation format)	Y haplogroup (manual curation in ISOGG format)	mtDNA coverage (merged data)	mtDNA haplogroup if ≥2 or published	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e..1	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	Y haplogroup in terminal mutation notation (automatically called)	mt haplogroup	Method for Determining Date (including any warnings)	Data type	SNP >=30000	Not questionable	 Not 1d relative of another high coverage sample	1240k data	UDG treated or modern or expected low damage due to diploid consensus calling	Coarse Subregion	Fine Subregion	Period	P-value for qpAdm (2-way model) (Balkan_N new)	EEF (2-way model)	EEF err. (2-way model)	P-value for qpAdm (3-way model)	WHG (3-way model)	EEF (3-way model)	Steppe (3-way model)	WHG err. (3-way model)	EEF err. (3-way model)	Steppe err. (3-way model)	Z-score for non-zero Steppe ancestry	Maximum P-value for 2-way and 3-way qpAdm	Filter 0: >=30000 SNPs, PASS assessment, relevant period, not a first degree relative of higher coverage individuals)	Filter 1: Filter 0 plus p>0.01 qpAdm 3-way or qpAdm 2-way	Filter 1 alternative: Version of Filter 1 but with subregional classifications in the Iron Age	"Filter 2: Filter 1 +  significant outliers by qpWave from other individuals of the comparison group that are not labeled as ""Ignore"" or  outlier; for ""Neolithic"" we also reject if Z>2.58 for steppe ancestry. We label all individuals where non-Ignore individuals are P<0.05 or less after the first is significant at P<0.005 as extreme outliers"	Filter 2 comparison group	P-values from main comparison group (from 1240k data when a 1240k sample, from all samples when a .SG sample)
	I6761	I6761	Skull 4 (R3688/130)			OlaldeNature2018		5525	43	3650-3500 BCE		England_N	England, Sussex, Brighton, Whitehawk	United Kingdom	50.828981	-0.112825		1	0.842174	539536		F	n/a (no relatives detected)	n/a (female)																ds.half	S6761.L1	PASS	mtcontam=[0.952,0.969]	n/a (female)	K1a+195	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southeast	N	0.07248	0.793	0.013	0.08956	0.197	0.776	0.027	0.015	0.016	0.017	1.6	0.08956	Use	England.and.Wales_N	England.Southeast_N	England.and.Wales_N	England.and.Wales_N	0.443695
	I6762	I6762	PA SK 1855			OlaldeNature2018		5700	144	4000-3500 BCE		England_N	England, Gloucestershire, Chipping Norton, Upper Swell	United Kingdom	51.56105	-1.445923		1	0.970433	594458		M	n/a (no relatives detected)	I2a1b1a1a1b																ds.half	S6762.L1	QUESTIONABLE	mtcontam=[0.853,0.895], Xcontam=[0.001,0.013]	I-Y3712	K1a1b1	Context: Archaeological - Period	1240K	1.0	0.0	1.0	1.0	1.0	England.and.Wales	England.Southcentral	N	0.180754	0.764	0.014	0.219621	0.227	0.747	0.026	0.016	0.017	0.018	1.4	0.219621	Do not pool into main transects (QUESTIONABLE)	Ignore_England.and.Wales_N	Ignore_England.Southcentral_N	Ignore_England.and.Wales_N	England.and.Wales_N	0.035908
	I6774	I6774	R2315/3			OlaldeNature2018		4121	63	2287-2041 calBCE (3760±30 BP, SUERC-74755)		England_BellBeaker_lowEEF	England, Sussex, Brighton, Ditchling Road	United Kingdom	50.862516	-0.121506		1	1.14817	586749		M	n/a (no relatives detected)	R1b1a1b1a1a2c																ds.half	S6774.L1	PASS	..	R-S461	H4a1a1a	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southeast	C.EBA	0.0	0.621	0.014	0.753707	0.095	0.228	0.677	0.015	0.017	0.023	29.4	0.753707	Use	England.and.Wales_C.EBA	England.Southeast_C.EBA	England.and.Wales_C.EBA_lowEEF	England.and.Wales_C.EBA	1.2e-05
	I6775	I6775	Skeleton No. 2			OlaldeNature2018		4150	173	2500-1900 BCE		England_BellBeaker	England, Somerset, Stogursey, Wick Barrow	United Kingdom	51.121284	-3.075648		1	1.641019	657663		M	n/a (no relatives detected)	R1b1a1b1a1a2c1																ds.half	S6775.L1	PASS	Xcontam=[0.007,0.016]	R-L21	H1	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southwest	C.EBA	0.0	0.642	0.015	0.684768	0.126	0.308	0.566	0.015	0.018	0.022	25.7	0.684768	Use	England.and.Wales_C.EBA	England.Southwest_C.EBA	England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.244482
	I6777	I6777	G.54			OlaldeNature2018		4050	115	2300-1900 BCE		England_C_EBA	England, Wiltshire, Wilsford	United Kingdom	51.147052	-1.812529		1	3.485444	767273		M	n/a (no relatives detected)	R1b1a1b1a1a2c1																ds.half	S6777.L1	PASS	Xcontam=[0.005,0.01]	R-Z251	U4b1b2	Context: Date(s) on relatives (I2600, I2566, and I2457)	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southwest	C.EBA	0.0	0.622	0.014	0.323718	0.106	0.275	0.619	0.016	0.018	0.023	26.9	0.323718	Use	England.and.Wales_C.EBA	England.Southwest_C.EBA	England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.223562
	I6778	I6778	G.52 Inhumation 4			OlaldeNature2018		4150	173	2500-1900 BCE		England_BellBeaker	England, Wiltshire, Wilsford	United Kingdom	51.147052	-1.812529		1	1.234384	580479		F	n/a (no relatives detected)	n/a (female)																ds.half	S6778.L1	PASS	..	n/a (female)	K1a26	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southwest	C.EBA	0.0	0.648	0.014	0.085351	0.094	0.295	0.61	0.015	0.019	0.023	26.5	0.085351	Use	England.and.Wales_C.EBA	England.Southwest_C.EBA	England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.190073
	I2597	I2597	56240_5292			OlaldeNature2018		4080	60	2276-2033 calBCE (3735±30 BP, SUERC-34539)		England_C_EBA	England, Wiltshire, Amesbury Down	United Kingdom	51.168023	-1.7725402		1	3.235122	807670		M	n/a (no relatives detected)	R1b1a1b1a1a2c1																ds.half	S2597.E1.L2	PASS	..	R-DF13	U5a2c3a	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southwest	C.EBA	0.0	0.624	0.015	0.710376	0.123	0.288	0.588	0.016	0.019	0.023	25.6	0.710376	Use	England.and.Wales_C.EBA	England.Southwest_C.EBA	England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.97828
	I2604	I2604	62412_40173			OlaldeNature2018		4073	59	2272-2032 calBCE (3730±30 BP, SUERC-26241)		England_C_EBA	England, Hampshire, Barton-Stacey Pipeline	United Kingdom	51.15	-1.36		1	2.178549	759953		F	n/a (no relatives detected)	n/a (female)																ds.half	S2604.E1.L2	PASS	..	n/a (female)	H2a3	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southwest	C.EBA	0.0	0.664	0.014	0.781749	0.107	0.301	0.592	0.015	0.018	0.022	26.9	0.781749	Use	England.and.Wales_C.EBA	England.Southwest_C.EBA	England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.911149
	I2606	I2606	SK 5856 (DBC 96)			OlaldeNature2018		5065	124	3330-2900 BCE		England_N	England, Buckinghamshire, Eton Rowing Course	United Kingdom	51.49275	-0.665402		1	1.180875	664203		M	n/a (no relatives detected)	I2a1b1a1a1																ds.half	S2606.E1.L2	PASS	..	I-L1195	K1a+195	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southeast	N	0.514942	0.791	0.014	0.34393	0.205	0.781	0.014	0.016	0.017	0.019	0.7	0.514942	Use	England.and.Wales_N	England.Southeast_N	England.and.Wales_N	England.and.Wales_N	0.716404
	I0519	I0519	NBL11_2011.2			OlaldeNature2018		5180	75	3360-3100 BCE		England_N	England, Northampton, Banbury Lane	United Kingdom	52.21725278	-0.940216667		1	0.077539	85988		M	n/a (no relatives detected)	I2a1a2																ds.half	S0519.E1.L1	PASS	..	I-L161	X2b+226	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southcentral	N	0.058402	0.768	0.017	0.790131	0.205	0.725	0.07	0.021	0.024	0.029	2.4	0.790131	Use	England.and.Wales_N	England.Southcentral_N	England.and.Wales_N	England.and.Wales_N	0.823417
	I0520	I0520	NBL11_2002.1			OlaldeNature2018		5180	75	3360-3100 BCE		England_N	England, Northampton, Banbury Lane	United Kingdom	52.21725278	-0.940216667		1	0.014162	16638		M	n/a (no relatives detected)	I2																ds.half	S0520.E1.L1	PASS	..	I2	U5a2c	Context: Archaeological - Period	1240K	0.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southcentral	N	0.769998	0.72	0.032	0.583304	0.269	0.7	0.031	0.039	0.05	0.062	0.5	0.769998	Do not pool into main transects (<30000 SNPs)	Ignore_England.and.Wales_N	Ignore_England.Southcentral_N	Ignore_England.and.Wales_N_lowEEF	England.and.Wales_N	0.65698
	I6294	I6294	41, Grachevka II 2/1			NarasimhanPattersonScience2019	Direct: IntCal20	4709	65	2877-2635 calBCE (4160±20 BP, PSUAMS-2956)		OldSteppe	Samara Oblast, Volga River Valley, Sok River, Grachevka	Russia	53.58975	50.57129167	1240K		1.02177	671637		M		R1b1a1b1b																		PASS	damage.ds.half=0.039	R-M12149	U5a1g																								OldSteppe				
	I0518	I0518	NBL11_2016.1			OlaldeNature2018		5180	75	3360-3100 BCE		England_N	England, Northampton, Banbury Lane	United Kingdom	52.21725278	-0.940216667		1	0.03803	44267		M	n/a (no relatives detected)	I2a1b																ds.half	S0518.E1.L1	PASS	..	I-M436	K1a3a1	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southcentral	N	0.736573	0.802	0.023	0.432319	0.2	0.802	-0.003	0.028	0.035	0.043	-0.1	0.736573	Use	England.and.Wales_N	England.Southcentral_N	England.and.Wales_N	England.and.Wales_N	0.196838
	I5383	I5383	Skull 1a			OlaldeNature2018		2945	55	1090-900 BCE		England_LBA_lowEEF	England, North Yorkshire, Ingleton, Raven Scar Cave	United Kingdom	54.155105	-2.472049		2	0.307063	291732		F	n/a (no relatives detected)	n/a (female)																ds.half,ds.half	S6756.L1,S5383.L1	PASS	..	n/a (female)	J1c5f	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.North	LBA	0.0	0.693	0.014	0.385049	0.1	0.323	0.576	0.015	0.019	0.024	24.0	0.385049	Use	England.and.Wales_LBA	England.North_LBA	England.and.Wales_LBA	England.and.Wales_LBA	0.060143
	I6767	I6767	SB 524A8			BraceDiekmannNatureEcologyEvolution2019		10280	143	8615-7966 calBCE (9100±100 BP, OxA-814)		England_Mesolithic	England, Somerset, Cheddar, Gough's Cave	United Kingdom	51.281679	-2.765746		2	2.251405	761765		M	n/a (no relatives detected)	I2a1b2																ds.half,ds.half	S6767.L1,S6768.L1	PASS	mtcontam=[0.942,0.971]	I-S2555	U5b1	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southwest	Mesolithic	0.0379	-0.067	0.011	0.151313	1.079	-0.043	-0.036	0.014	0.015	0.017	-2.1	0.151313	Do not pool into main transects (hunter gatherer)	Ignore_England.and.Wales_Mesolithic	Ignore_England.Southwest_Mesolithic	Ignore_England.and.Wales_Mesolithic	England.and.Wales_Mesolithic	
	I5377	I5377	A13495			OlaldeNature2018		3758	52	1895-1693 calBCE (3485±33 BP, OxA-14731)		England_C_EBA	England, London, Mortlake, River Thames Skulls	United Kingdom	51.471197	-0.266408		2	2.31049	819996		M	n/a (no relatives detected)	R1b1a1b1a1a2c1																ds.half,ds.half	S6749.L1,S5377.L1	PASS	..	R-DF13	T2b	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southeast	C.EBA	0.0	0.672	0.013	0.148455	0.122	0.333	0.545	0.014	0.018	0.022	24.8	0.148455	Use	England.and.Wales_C.EBA	England.Southeast_C.EBA	England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.027893
	I2937	I2937	A2197 multi-burial, Chamber B, Layer 14,			LazaridisNature2017	Direct: IntCal20	7360	41	5477-5331 calBCE (6441±38 BP, OxA-22012)		Balkan_N	Diros, Alepotrypa Cave	Greece	36.63833333	22.3825	1240K		1.15252	642027		F		n/a (female)																		PASS	..	n/a (female)	K1a26																								Balkan_N				
	I6679	I6679	UK_LH3, LH-01, Cair 1, Burial 3			OlaldeNature2018		3936	57	2129-1889 calBCE (3621±34 BP, OxA-5553/4)		England_BellBeaker	England, Northumberland, Low Hauxley	United Kingdom	55.309983	-1.553328		1	0.171488	183707		M	n/a (no relatives detected)	R1b1a1b1a1a																ds.half	S6679.E1.L1	PASS	..	R-L151	J1c1b1	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.North	C.EBA	0.0	0.627	0.019	0.623057	0.148	0.319	0.533	0.019	0.022	0.027	19.7	0.623057	Use	England.and.Wales_C.EBA	England.North_C.EBA	England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.801829
	I6680	I6680	UK_LH10, LH-02, Cairn 2, Burial 10			OlaldeNature2018		3671	69	1878-1617 calBCE (3420±38 BP, OxA-5555/6)		England_BellBeaker_mediumEEF	England, Northumberland, Low Hauxley	United Kingdom	55.309983	-1.553328		1	3.77803	872301		M	n/a (no relatives detected)	R1b1a1b1a1a2c1																ds.half	S6680.E1.L1	PASS	..	R-DF13	H1+16189	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.North	C.EBA	0.0	0.67	0.012	0.107951	0.124	0.363	0.513	0.014	0.016	0.02	25.7	0.107951	Use	England.and.Wales_C.EBA	England.North_C.EBA	England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.103202
	Chaudardes1_published_d	Chaudardes1	Chaudardes1			FuNature2016	Direct: IntCal20	8218	86	6400-6086 calBCE (7400±60 BP, GrA-28268)		WHGA	Chaudardes	France	49.24	3.46	1240K		0.046	86092		M		I2																		PASS	manual.QC	I2	U5b1b																								WHGA				
	Ranchot88_published_d	Ranchot88	Ranchot88			FuNature2016	Direct: IntCal20	10134	91	8290-7968 calBCE (8985±40 BP, GrA-38019)		WHGA	Ranchot	France	47.91	5.43	1240K		0.322	384797		F		n/a (female)																		PASS	manual.QC	n/a (female)	U5b1																								WHGA				
	I7489	I7489	58, Utyevka V, 1/1			NarasimhanPattersonScience2019	Direct: IntCal20	5047	105	3326-2926 calBCE (4430±25 BP, PSUAMS-5790)		OldSteppe	Samara Oblast, Volga River Valley, Samara River, Utyevka V	Russia	52.91277778	50.99055556	1240K		1.070382	656159		F		n/a (female)																		PASS	..	n/a (female)	H2a1e																								OldSteppe				
	I8745	I8745	Nikolaevka III K.1 B.3			NarasimhanPattersonScience2019	Context: Archaeological - Period	4300	87	2500-2200 BCE		OldSteppe	Samara Oblast, Volga River Valley, Nikolaevka Kurgan	Russia	49.96666667	44.66666667	1240K		0.776334	586435		M		R1b1a1b1b3																		PASS	damage.ds.half=0.043	R-KMS67	U4b																								OldSteppe				
	HGDP01368.SDG	HGDP01368	..			BergstromScience2020		0	0	present		Basque.SDG	..	France	43	0		..	..	1139738		U	n/a (no relatives detected)	n/a (sex unknown)																n/a (modern)	..	PASS	..	n/a (sex unknown)	..	Modern	Shotgun.diploid	1.0	1.0	1.0	0.0	1.0	France.Switzerland	France	Modern	0.0	0.722	0.013	0.844449	0.137	0.537	0.326	0.014	0.015	0.018	18.1	0.844449	Use	France.Switzerland_Modern	France_Modern	France.Switzerland_Modern	France.Switzerland_Modern	0.047678
	HGDP00580.SDG	HGDP00580	..			BergstromScience2020	Modern	0	0	present		Druze.SDG	Carmel	Israel	32	35	Shotgun.diploid		..	1137930		M		..																		PASS	..	..	..																								Druze.SDG				
	HGDP01385.SDG	HGDP01385	..			BergstromScience2020	Modern	0	0	present		Adygei.SDG	Krasnodar	Russia	44	39	Shotgun.diploid		..	1137171		M		..																		PASS	..	..	..																								Adygei.SDG				
	HGDP00609.SDG	HGDP00609	..			BergstromScience2020	Modern	0	0	present		BedouinA.SDG	..	Israel	31	35	Shotgun.diploid		..	1133516		M		..																		PASS	..	..	..																								BedouinA.SDG				
	HGDP00608.SDG	HGDP00608	..			BergstromScience2020	Modern	0	0	present		BedouinB.SDG	..	Israel	31	35	Shotgun.diploid		..	1133867		M		..																		PASS	..	..	..																								BedouinB.SDG				
	HGDP00562.SDG	HGDP00562	..			BergstromScience2020	Modern	0	0	present		Druze.SDG	Carmel	Israel	32	35	Shotgun.diploid		..	1135055		M		..																		PASS	..	..	..																								Druze.SDG				
	HGDP01396.SDG	HGDP01396	..			BergstromScience2020	Modern	0	0	present		Ignore_Adygei.SDG	Krasnodar	Russia	44	39	Shotgun.diploid		..	1136238		M		..																		PASS	..	..	..																								Ignore_Adygei.SDG				
	HGDP01383.SDG	HGDP01383	..			BergstromScience2020	Modern	0	0	present		Adygei.SDG	Krasnodar	Russia	44	39	Shotgun.diploid		..	1136710		M		..																		PASS	..	..	..																								Adygei.SDG				
	HGDP00610.SDG	HGDP00610	..			BergstromScience2020	Modern	0	0	present		BedouinB.SDG	..	Israel	31	35	Shotgun.diploid		..	1137664		M		..																		PASS	..	..	..																								BedouinB.SDG				
	HGDP00724.SDG	HGDP00724	..			BergstromScience2020	Modern	0	0	present		Palestinian.SDG	..	Israel	32	35	Shotgun.diploid		..	1135443		M		..																		PASS	..	..	..																								Palestinian.SDG				
	HGDP00726.SDG	HGDP00726	..			BergstromScience2020	Modern	0	0	present		Palestinian.SDG	..	Israel	32	35	Shotgun.diploid		..	1137070		M		..																		PASS	..	..	..																								Palestinian.SDG				
	HGDP01361.SDG	HGDP01361	..			BergstromScience2020		0	0	present		Basque.SDG	..	France	43	0		..	..	1138225		M	n/a (no relatives detected)	..																n/a (modern)	..	PASS	..	..	..	Modern	Shotgun.diploid	1.0	1.0	1.0	0.0	1.0	France.Switzerland	France	Modern	0.0	0.707	0.011	0.025293	0.181	0.535	0.285	0.013	0.015	0.018	15.8	0.025293	Use	France.Switzerland_Modern	France_Modern	France.Switzerland_Modern	France.Switzerland_Modern	0.571864
	HGDP01358.SDG	HGDP01358	..			BergstromScience2020		0	0	present		Basque.SDG	..	France	43	0		..	..	1138801		M	n/a (no relatives detected)	..																n/a (modern)	..	PASS	..	..	..	Modern	Shotgun.diploid	1.0	1.0	1.0	0.0	1.0	France.Switzerland	France	Modern	0.0	0.691	0.012	0.258759	0.173	0.524	0.303	0.013	0.014	0.018	16.8	0.258759	Use	France.Switzerland_Modern	France_Modern	France.Switzerland_Modern	France.Switzerland_Modern	0.046436
	HGDP01359.SDG	HGDP01359	..			BergstromScience2020		0	0	present		Basque.SDG	..	France	43	0		..	..	1138651		M	n/a (no relatives detected)	..																n/a (modern)	..	PASS	..	..	..	Modern	Shotgun.diploid	1.0	1.0	1.0	0.0	1.0	France.Switzerland	France	Modern	0.0	0.705	0.012	0.12756	0.165	0.522	0.313	0.014	0.015	0.018	17.4	0.12756	Use	France.Switzerland_Modern	France_Modern	France.Switzerland_Modern	France.Switzerland_Modern	0.75617
	HGDP00536.SDG	HGDP00536	..			BergstromScience2020		0	0	present		French.SDG	..	France	46	2		..	..	1138826		F	n/a (no relatives detected)	n/a (female)																n/a (modern)	..	PASS	..	n/a (female)	..	Modern	Shotgun.diploid	1.0	1.0	1.0	0.0	1.0	France.Switzerland	France	Modern	0.0	0.732	0.011	0.000637	0.129	0.496	0.374	0.013	0.016	0.019	19.7	0.000637	Use	Ignore_France.Switzerland_Modern	Ignore_France_Modern	Ignore_France.Switzerland_Modern_highSteppe	France.Switzerland_Modern	0.00424
	HGDP00539.SDG	HGDP00539	..			BergstromScience2020		0	0	present		French.SDG	..	France	46	2		..	..	1138734		F	n/a (no relatives detected)	n/a (female)																n/a (modern)	..	PASS	..	n/a (female)	..	Modern	Shotgun.diploid	1.0	1.0	1.0	0.0	1.0	France.Switzerland	France	Modern	0.0	0.738	0.012	0.020361	0.133	0.489	0.378	0.012	0.015	0.016	23.6	0.020361	Use	France.Switzerland_Modern	France_Modern	France.Switzerland_Modern_highSteppe	France.Switzerland_Modern	0.0
	HGDP00879.SDG	HGDP00879	..			BergstromScience2020	Modern	0	0	present		Russian.SDG	Vologda Administrative Region	Russia	61	40	Shotgun.diploid		..	1138042		M		..																		PASS	..	..	..																								Russian.SDG				
	HGDP00902.SDG	HGDP00902	..			BergstromScience2020	Modern	0	0	present		Russian.SDG	Vologda Administrative Region	Russia	61	40	Shotgun.diploid		..	1138995		F		n/a (female)																		PASS	..	n/a (female)	..																								Russian.SDG				
	HGDP00519.SDG	HGDP00519	..			BergstromScience2020		0	0	present		French.SDG	..	France	46	2		..	..	1131155		M	n/a (no relatives detected)	..																n/a (modern)	..	PASS	..	..	..	Modern	Shotgun.diploid	1.0	1.0	1.0	0.0	1.0	France.Switzerland	France	Modern	0.0	0.648	0.012	0.016721	0.142	0.395	0.463	0.014	0.016	0.019	24.4	0.016721	Use	France.Switzerland_Modern	France_Modern	France.Switzerland_Modern_highSteppe	France.Switzerland_Modern	0.0
	HGDP00512.SDG	HGDP00512	..			BergstromScience2020		0	0	present		French.SDG	..	France	46	2		..	..	1134734		M	n/a (no relatives detected)	..																n/a (modern)	..	PASS	..	..	..	Modern	Shotgun.diploid	1.0	1.0	1.0	0.0	1.0	France.Switzerland	France	Modern	0.0	0.751	0.011	0.174019	0.118	0.478	0.404	0.012	0.016	0.019	21.3	0.174019	Use	France.Switzerland_Modern	France_Modern	France.Switzerland_Modern_highSteppe	France.Switzerland_Modern	0.000144
	HGDP01357.SDG	HGDP01357	..			BergstromScience2020		0	0	present		Basque.SDG	..	France	43	0		..	..	1138757		M	n/a (no relatives detected)	..																n/a (modern)	..	PASS	..	..	..	Modern	Shotgun.diploid	1.0	1.0	1.0	0.0	1.0	France.Switzerland	France	Modern	0.0	0.708	0.013	0.001026	0.163	0.528	0.308	0.014	0.016	0.019	16.2	0.001026	Use	Ignore_France.Switzerland_Modern	Ignore_France_Modern	Ignore_France.Switzerland_Modern	France.Switzerland_Modern	0.089773
	HGDP00880.SDG	HGDP00880	..			BergstromScience2020	Modern	0	0	present		Russian.SDG	Vologda Administrative Region	Russia	61	40	Shotgun.diploid		..	1139034		M		..																		PASS	..	..	..																								Russian.SDG				
	HGDP00513.SDG	HGDP00513	..			BergstromScience2020		0	0	present		French.SDG	..	France	46	2		..	..	1137686		F	n/a (no relatives detected)	n/a (female)																n/a (modern)	..	PASS	..	n/a (female)	..	Modern	Shotgun.diploid	1.0	1.0	1.0	0.0	1.0	France.Switzerland	France	Modern	0.0	0.73	0.012	0.000641	0.104	0.459	0.437	0.012	0.015	0.018	24.3	0.000641	Use	Ignore_France.Switzerland_Modern	Ignore_France_Modern	Ignore_France.Switzerland_Modern_highSteppe	France.Switzerland_Modern	0.0
	HGDP00900.SDG	HGDP00900	..			BergstromScience2020	Modern	0	0	present		Russian.SDG	Vologda Administrative Region	Russia	61	40	Shotgun.diploid		..	1138636		M		..																		PASS	..	..	..																								Russian.SDG				
	HGDP00898.SDG	HGDP00898	..			BergstromScience2020	Modern	0	0	present		Russian.SDG	Vologda Administrative Region	Russia	61	40	Shotgun.diploid		..	1139160		F		n/a (female)																		PASS	..	n/a (female)	..																								Russian.SDG				
	HGDP00527.SDG	HGDP00527	..			BergstromScience2020		0	0	present		French.SDG	..	France	46	2		..	..	1131416		F	n/a (no relatives detected)	n/a (female)																n/a (modern)	..	PASS	..	n/a (female)	..	Modern	Shotgun.diploid	1.0	1.0	1.0	0.0	1.0	France.Switzerland	France	Modern	0.0	0.709	0.012	0.287353	0.108	0.435	0.457	0.012	0.014	0.017	26.9	0.287353	Use	France.Switzerland_Modern	France_Modern	France.Switzerland_Modern_highSteppe	France.Switzerland_Modern	0.0
	HGDP01363.SDG	HGDP01363	..			BergstromScience2020		0	0	present		Basque.SDG	..	France	43	0		..	..	1136384		F	n/a (no relatives detected)	n/a (female)																n/a (modern)	..	PASS	..	n/a (female)	..	Modern	Shotgun.diploid	1.0	1.0	1.0	0.0	1.0	France.Switzerland	France	Modern	0.0	0.706	0.011	0.043572	0.18	0.525	0.295	0.012	0.015	0.018	16.4	0.043572	Use	France.Switzerland_Modern	France_Modern	France.Switzerland_Modern	France.Switzerland_Modern	0.438993
	HGDP00524.SDG	HGDP00524	..			BergstromScience2020		0	0	present		French.SDG	..	France	46	2		..	..	1137186		F	n/a (no relatives detected)	n/a (female)																n/a (modern)	..	PASS	..	n/a (female)	..	Modern	Shotgun.diploid	1.0	1.0	1.0	0.0	1.0	France.Switzerland	France	Modern	0.0	0.72	0.011	0.26894	0.131	0.514	0.355	0.013	0.015	0.019	18.7	0.26894	Use	France.Switzerland_Modern	France_Modern	France.Switzerland_Modern_highSteppe	France.Switzerland_Modern	0.0
	HGDP00511.SDG	HGDP00511	..			BergstromScience2020		0	0	present		French.SDG	..	France	46	2		..	..	1137720		M	n/a (no relatives detected)	..																n/a (modern)	..	PASS	..	..	..	Modern	Shotgun.diploid	1.0	1.0	1.0	0.0	1.0	France.Switzerland	France	Modern	0.0	0.717	0.012	0.500866	0.119	0.432	0.449	0.012	0.015	0.018	24.9	0.500866	Use	France.Switzerland_Modern	France_Modern	France.Switzerland_Modern_highSteppe	France.Switzerland_Modern	0.0
